"Step","08-04_15-17-40_CO3D_NeMo_Rec_local - train/loss","08-04_15-17-40_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_15-17-40_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_14-02-10_CO3D_NeMo_Rec_local - train/loss","08-04_14-02-10_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_14-02-10_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_12-41-29_CO3D_NeMo_Rec_local - train/loss","08-04_12-41-29_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_12-41-29_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_12-10-50_CO3D_NeMo_Rec_local - train/loss","08-04_12-10-50_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_12-10-50_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_11-24-50_CO3D_NeMo_Rec_local - train/loss","08-04_11-24-50_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_11-24-50_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_10-53-57_CO3D_NeMo_Rec_local - train/loss","08-04_10-53-57_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_10-53-57_CO3D_NeMo_Rec_local - train/loss__MAX","08-03_23-34-45_CO3D_NeMo_Rec_local - train/loss","08-03_23-34-45_CO3D_NeMo_Rec_local - train/loss__MIN","08-03_23-34-45_CO3D_NeMo_Rec_local - train/loss__MAX"
"11","4.082154750823975","4.082154750823975","4.082154750823975","3.9981374740600586","3.9981374740600586","3.9981374740600586","4.266774654388428","4.266774654388428","4.266774654388428","-0.4329410195350647","-0.4329410195350647","-0.4329410195350647","4.099216938018799","4.099216938018799","4.099216938018799","-0.514788031578064","-0.514788031578064","-0.514788031578064","-0.5665797591209412","-0.5665797591209412","-0.5665797591209412"
"12","3.994868755340576","3.994868755340576","3.994868755340576","3.908412218093872","3.908412218093872","3.908412218093872","4.226930618286133","4.226930618286133","4.226930618286133","-0.3072351813316345","-0.3072351813316345","-0.3072351813316345","4.019895553588867","4.019895553588867","4.019895553588867","-0.3719029426574707","-0.3719029426574707","-0.3719029426574707","-0.44010716676712036","-0.44010716676712036","-0.44010716676712036"
"13","3.629509449005127","3.629509449005127","3.629509449005127","3.5648231506347656","3.5648231506347656","3.5648231506347656","3.8625364303588867","3.8625364303588867","3.8625364303588867","-0.2484961748123169","-0.2484961748123169","-0.2484961748123169","3.660757303237915","3.660757303237915","3.660757303237915","-0.36353743076324463","-0.36353743076324463","-0.36353743076324463","-0.4040580987930298","-0.4040580987930298","-0.4040580987930298"
"14","3.4035379886627197","3.4035379886627197","3.4035379886627197","3.340175151824951","3.340175151824951","3.340175151824951","3.6070728302001953","3.6070728302001953","3.6070728302001953","-0.22156518697738647","-0.22156518697738647","-0.22156518697738647","3.4193520545959473","3.4193520545959473","3.4193520545959473","-0.3091568052768707","-0.3091568052768707","-0.3091568052768707","-0.3576272428035736","-0.3576272428035736","-0.3576272428035736"
"15","4.130497932434082","4.130497932434082","4.130497932434082","4.013843536376953","4.013843536376953","4.013843536376953","4.447508811950684","4.447508811950684","4.447508811950684","-0.19667929410934448","-0.19667929410934448","-0.19667929410934448","4.161345958709717","4.161345958709717","4.161345958709717","-0.30214327573776245","-0.30214327573776245","-0.30214327573776245","-0.37383854389190674","-0.37383854389190674","-0.37383854389190674"
"16","4.003498077392578","4.003498077392578","4.003498077392578","3.9258923530578613","3.9258923530578613","3.9258923530578613","4.28255033493042","4.28255033493042","4.28255033493042","-0.3727352023124695","-0.3727352023124695","-0.3727352023124695","4.033637523651123","4.033637523651123","4.033637523651123","-0.5295321345329285","-0.5295321345329285","-0.5295321345329285","-0.5841121077537537","-0.5841121077537537","-0.5841121077537537"
"17","3.9194493293762207","3.9194493293762207","3.9194493293762207","3.782327651977539","3.782327651977539","3.782327651977539","4.286025524139404","4.286025524139404","4.286025524139404","-0.3750608563423157","-0.3750608563423157","-0.3750608563423157","3.940476894378662","3.940476894378662","3.940476894378662","-0.44814538955688477","-0.44814538955688477","-0.44814538955688477","-0.5174298286437988","-0.5174298286437988","-0.5174298286437988"
"18","4.232182025909424","4.232182025909424","4.232182025909424","4.158817291259766","4.158817291259766","4.158817291259766","4.401796340942383","4.401796340942383","4.401796340942383","-0.187449648976326","-0.187449648976326","-0.187449648976326","4.252909183502197","4.252909183502197","4.252909183502197","-0.25847864151000977","-0.25847864151000977","-0.25847864151000977","-0.3138725757598877","-0.3138725757598877","-0.3138725757598877"
"20","3.7757747173309326","3.7757747173309326","3.7757747173309326","3.638270139694214","3.638270139694214","3.638270139694214","4.1627912521362305","4.1627912521362305","4.1627912521362305","-0.2811442017555237","-0.2811442017555237","-0.2811442017555237","3.8089346885681152","3.8089346885681152","3.8089346885681152","-0.3688659071922302","-0.3688659071922302","-0.3688659071922302","-0.45122164487838745","-0.45122164487838745","-0.45122164487838745"
"21","3.6290183067321777","3.6290183067321777","3.6290183067321777","3.4881062507629395","3.4881062507629395","3.4881062507629395","4.040865898132324","4.040865898132324","4.040865898132324","-0.23592185974121094","-0.23592185974121094","-0.23592185974121094","3.658511161804199","3.658511161804199","3.658511161804199","-0.3107299208641052","-0.3107299208641052","-0.3107299208641052","-0.3638928532600403","-0.3638928532600403","-0.3638928532600403"
"22","3.5745983123779297","3.5745983123779297","3.5745983123779297","3.4621236324310303","3.4621236324310303","3.4621236324310303","4.005751132965088","4.005751132965088","4.005751132965088","-0.3760019540786743","-0.3760019540786743","-0.3760019540786743","3.6124892234802246","3.6124892234802246","3.6124892234802246","-0.49572551250457764","-0.49572551250457764","-0.49572551250457764","-0.5381752252578735","-0.5381752252578735","-0.5381752252578735"
"23","3.6744132041931152","3.6744132041931152","3.6744132041931152","3.534325122833252","3.534325122833252","3.534325122833252","4.198275566101074","4.198275566101074","4.198275566101074","-0.41470474004745483","-0.41470474004745483","-0.41470474004745483","3.7168807983398438","3.7168807983398438","3.7168807983398438","-0.4839140772819519","-0.4839140772819519","-0.4839140772819519","-0.5521306991577148","-0.5521306991577148","-0.5521306991577148"
"24","3.834932804107666","3.834932804107666","3.834932804107666","3.736912727355957","3.736912727355957","3.736912727355957","4.333853721618652","4.333853721618652","4.333853721618652","-0.4050145745277405","-0.4050145745277405","-0.4050145745277405","3.8734164237976074","3.8734164237976074","3.8734164237976074","-0.44153621792793274","-0.44153621792793274","-0.44153621792793274","-0.504409670829773","-0.504409670829773","-0.504409670829773"
"25","4.0661396980285645","4.0661396980285645","4.0661396980285645","3.890660524368286","3.890660524368286","3.890660524368286","4.679980278015137","4.679980278015137","4.679980278015137","-0.28269636631011963","-0.28269636631011963","-0.28269636631011963","4.119765758514404","4.119765758514404","4.119765758514404","-0.41732996702194214","-0.41732996702194214","-0.41732996702194214","-0.4760586619377136","-0.4760586619377136","-0.4760586619377136"
"26","4.319624900817871","4.319624900817871","4.319624900817871","4.152667045593262","4.152667045593262","4.152667045593262","4.995722770690918","4.995722770690918","4.995722770690918","-0.21509313583374023","-0.21509313583374023","-0.21509313583374023","4.380853652954102","4.380853652954102","4.380853652954102","-0.28860020637512207","-0.28860020637512207","-0.28860020637512207","-0.3438021242618561","-0.3438021242618561","-0.3438021242618561"
"27","3.376309871673584","3.376309871673584","3.376309871673584","3.2578701972961426","3.2578701972961426","3.2578701972961426","4.0379133224487305","4.0379133224487305","4.0379133224487305","-0.4667097330093384","-0.4667097330093384","-0.4667097330093384","3.4383955001831055","3.4383955001831055","3.4383955001831055","-0.6013244390487671","-0.6013244390487671","-0.6013244390487671","-0.6269746422767639","-0.6269746422767639","-0.6269746422767639"
"28","3.32144832611084","3.32144832611084","3.32144832611084","3.1556835174560547","3.1556835174560547","3.1556835174560547","4.022946357727051","4.022946357727051","4.022946357727051","-0.33295586705207825","-0.33295586705207825","-0.33295586705207825","3.3728885650634766","3.3728885650634766","3.3728885650634766","-0.38600221276283264","-0.38600221276283264","-0.38600221276283264","-0.4462376534938812","-0.4462376534938812","-0.4462376534938812"
