"Step","08-02_18-31-55_ShapeNet_NeMo_Rec_local - train/loss","08-02_18-31-55_ShapeNet_NeMo_Rec_local - train/loss__MIN","08-02_18-31-55_ShapeNet_NeMo_Rec_local - train/loss__MAX","08-02_17-19-48_ShapeNet_NeMo_Rec_local - train/loss","08-02_17-19-48_ShapeNet_NeMo_Rec_local - train/loss__MIN","08-02_17-19-48_ShapeNet_NeMo_Rec_local - train/loss__MAX","08-02_16-08-21_ShapeNet_NeMo_Rec_local - train/loss","08-02_16-08-21_ShapeNet_NeMo_Rec_local - train/loss__MIN","08-02_16-08-21_ShapeNet_NeMo_Rec_local - train/loss__MAX","08-01_16-48-36_ShapeNet_NeMo_Rec_local - train/loss","08-01_16-48-36_ShapeNet_NeMo_Rec_local - train/loss__MIN","08-01_16-48-36_ShapeNet_NeMo_Rec_local - train/loss__MAX","08-01_16-23-41_ShapeNet_NeMo_Rec_local - train/loss","08-01_16-23-41_ShapeNet_NeMo_Rec_local - train/loss__MIN","08-01_16-23-41_ShapeNet_NeMo_Rec_local - train/loss__MAX","08-01_15-07-07_ShapeNet_NeMo_Rec_local - train/loss","08-01_15-07-07_ShapeNet_NeMo_Rec_local - train/loss__MIN","08-01_15-07-07_ShapeNet_NeMo_Rec_local - train/loss__MAX","08-01_14-45-02_ShapeNet_NeMo_Rec_local - train/loss","08-01_14-45-02_ShapeNet_NeMo_Rec_local - train/loss__MIN","08-01_14-45-02_ShapeNet_NeMo_Rec_local - train/loss__MAX","08-01_13-40-44_ShapeNet_NeMo_Rec_local - train/loss","08-01_13-40-44_ShapeNet_NeMo_Rec_local - train/loss__MIN","08-01_13-40-44_ShapeNet_NeMo_Rec_local - train/loss__MAX"
"1","1.0325603485107422","1.0325603485107422","1.0325603485107422","3.2458150386810303","3.2458150386810303","3.2458150386810303","3.3219704627990723","3.3219704627990723","3.3219704627990723","3.4233646392822266","3.4233646392822266","3.4233646392822266","1.1168770790100098","1.1168770790100098","1.1168770790100098","1.1195440292358398","1.1195440292358398","1.1195440292358398","3.652864456176758","3.652864456176758","3.652864456176758","1.0897889137268066","1.0897889137268066","1.0897889137268066"
"2","0.06930661201477051","0.06930661201477051","0.06930661201477051","1.4630179405212402","1.4630179405212402","1.4630179405212402","1.2689130306243896","1.2689130306243896","1.2689130306243896","2.780383586883545","2.780383586883545","2.780383586883545","0.1440143585205078","0.1440143585205078","0.1440143585205078","0.15917491912841797","0.15917491912841797","0.15917491912841797","4.307063102722168","4.307063102722168","4.307063102722168","0.11302995681762695","0.11302995681762695","0.11302995681762695"
"3","1.2411630153656006","1.2411630153656006","1.2411630153656006","2.1689560413360596","2.1689560413360596","2.1689560413360596","2.422234296798706","2.422234296798706","2.422234296798706","3.50586199760437","3.50586199760437","3.50586199760437","1.3228607177734375","1.3228607177734375","1.3228607177734375","1.3404738903045654","1.3404738903045654","1.3404738903045654","3.226832866668701","3.226832866668701","3.226832866668701","1.3025476932525635","1.3025476932525635","1.3025476932525635"
"4","0.11844420433044434","0.11844420433044434","0.11844420433044434","1.1057047843933105","1.1057047843933105","1.1057047843933105","1.2578818798065186","1.2578818798065186","1.2578818798065186","1.6860647201538086","1.6860647201538086","1.6860647201538086","0.18238139152526855","0.18238139152526855","0.18238139152526855","0.20793676376342773","0.20793676376342773","0.20793676376342773","2.3197693824768066","2.3197693824768066","2.3197693824768066","0.15369367599487305","0.15369367599487305","0.15369367599487305"
"5","0.6367108821868896","0.6367108821868896","0.6367108821868896","1.4724352359771729","1.4724352359771729","1.4724352359771729","1.4423813819885254","1.4423813819885254","1.4423813819885254","1.9789319038391113","1.9789319038391113","1.9789319038391113","0.7196395397186279","0.7196395397186279","0.7196395397186279","0.7679147720336914","0.7679147720336914","0.7679147720336914","3.8326663970947266","3.8326663970947266","3.8326663970947266","0.7005913257598877","0.7005913257598877","0.7005913257598877"
"6","0.6570658683776855","0.6570658683776855","0.6570658683776855","0.9975564479827881","0.9975564479827881","0.9975564479827881","1.3197269439697266","1.3197269439697266","1.3197269439697266","2.306333541870117","2.306333541870117","2.306333541870117","0.7002899646759033","0.7002899646759033","0.7002899646759033","0.7434282302856445","0.7434282302856445","0.7434282302856445","2.6451125144958496","2.6451125144958496","2.6451125144958496","0.6743593215942383","0.6743593215942383","0.6743593215942383"
"7","0.6258751749992371","0.6258751749992371","0.6258751749992371","1.7422475814819336","1.7422475814819336","1.7422475814819336","1.8388514518737793","1.8388514518737793","1.8388514518737793","2.613490104675293","2.613490104675293","2.613490104675293","0.6976771354675293","0.6976771354675293","0.6976771354675293","0.7230787873268127","0.7230787873268127","0.7230787873268127","3.3307180404663086","3.3307180404663086","3.3307180404663086","0.672335147857666","0.672335147857666","0.672335147857666"
"9","1.210677146911621","1.210677146911621","1.210677146911621","1.1092913150787354","1.1092913150787354","1.1092913150787354","1.7063361406326294","1.7063361406326294","1.7063361406326294","2.4947171211242676","2.4947171211242676","2.4947171211242676","1.2588632106781006","1.2588632106781006","1.2588632106781006","1.3069779872894287","1.3069779872894287","1.3069779872894287","3.117556571960449","3.117556571960449","3.117556571960449","1.2365140914916992","1.2365140914916992","1.2365140914916992"
"10","-0.32516980171203613","-0.32516980171203613","-0.32516980171203613","-0.27709317207336426","-0.27709317207336426","-0.27709317207336426","0.5309023857116699","0.5309023857116699","0.5309023857116699","1.0727728605270386","1.0727728605270386","1.0727728605270386","-0.20675873756408691","-0.20675873756408691","-0.20675873756408691","-0.13852858543395996","-0.13852858543395996","-0.13852858543395996","1.7867496013641357","1.7867496013641357","1.7867496013641357","-0.24377655982971191","-0.24377655982971191","-0.24377655982971191"
"11","0.5367388725280762","0.5367388725280762","0.5367388725280762","0.39701318740844727","0.39701318740844727","0.39701318740844727","1.0881636142730713","1.0881636142730713","1.0881636142730713","1.3247556686401367","1.3247556686401367","1.3247556686401367","0.6051247119903564","0.6051247119903564","0.6051247119903564","0.6622822284698486","0.6622822284698486","0.6622822284698486","2.923328161239624","2.923328161239624","2.923328161239624","0.5728209018707275","0.5728209018707275","0.5728209018707275"
"12","-0.39925265312194824","-0.39925265312194824","-0.39925265312194824","-0.4809682369232178","-0.4809682369232178","-0.4809682369232178","-0.007847785949707031","-0.007847785949707031","-0.007847785949707031","0.24349045753479004","0.24349045753479004","0.24349045753479004","-0.3318805694580078","-0.3318805694580078","-0.3318805694580078","-0.2584245204925537","-0.2584245204925537","-0.2584245204925537","1.7547729015350342","1.7547729015350342","1.7547729015350342","-0.3607759475708008","-0.3607759475708008","-0.3607759475708008"
"13","1.0074362754821777","1.0074362754821777","1.0074362754821777","0.773340106010437","0.773340106010437","0.773340106010437","1.2262076139450073","1.2262076139450073","1.2262076139450073","1.53902268409729","1.53902268409729","1.53902268409729","1.0653431415557861","1.0653431415557861","1.0653431415557861","1.1223199367523193","1.1223199367523193","1.1223199367523193","3.5338191986083984","3.5338191986083984","3.5338191986083984","1.032418966293335","1.032418966293335","1.032418966293335"
"14","0.8427057266235352","0.8427057266235352","0.8427057266235352","0.5251609086990356","0.5251609086990356","0.5251609086990356","0.9590673446655273","0.9590673446655273","0.9590673446655273","1.6198309659957886","1.6198309659957886","1.6198309659957886","0.9309570789337158","0.9309570789337158","0.9309570789337158","1.031015396118164","1.031015396118164","1.031015396118164","3.4714667797088623","3.4714667797088623","3.4714667797088623","0.9060342311859131","0.9060342311859131","0.9060342311859131"
"15","0.4788559377193451","0.4788559377193451","0.4788559377193451","0.341124027967453","0.341124027967453","0.341124027967453","0.9171382784843445","0.9171382784843445","0.9171382784843445","1.3824316263198853","1.3824316263198853","1.3824316263198853","0.5536081194877625","0.5536081194877625","0.5536081194877625","0.6209403872489929","0.6209403872489929","0.6209403872489929","2.764615774154663","2.764615774154663","2.764615774154663","0.5238726139068604","0.5238726139068604","0.5238726139068604"
"16","0.31427574157714844","0.31427574157714844","0.31427574157714844","0.012253761291503906","0.012253761291503906","0.012253761291503906","0.4236752986907959","0.4236752986907959","0.4236752986907959","1.0713074207305908","1.0713074207305908","1.0713074207305908","0.37035560607910156","0.37035560607910156","0.37035560607910156","0.4773094654083252","0.4773094654083252","0.4773094654083252","1.9829456806182861","1.9829456806182861","1.9829456806182861","0.3417823314666748","0.3417823314666748","0.3417823314666748"
"17","0.0004165172576904297","0.0004165172576904297","0.0004165172576904297","-0.3679060935974121","-0.3679060935974121","-0.3679060935974121","-0.023029804229736328","-0.023029804229736328","-0.023029804229736328","0.9417829513549805","0.9417829513549805","0.9417829513549805","0.0783534049987793","0.0783534049987793","0.0783534049987793","0.20560073852539062","0.20560073852539062","0.20560073852539062","2.1966025829315186","2.1966025829315186","2.1966025829315186","0.03945732116699219","0.03945732116699219","0.03945732116699219"
"18","0.5009047985076904","0.5009047985076904","0.5009047985076904","0.007445573806762695","0.007445573806762695","0.007445573806762695","0.3659024238586426","0.3659024238586426","0.3659024238586426","1.0437649488449097","1.0437649488449097","1.0437649488449097","0.5428011417388916","0.5428011417388916","0.5428011417388916","0.6314756870269775","0.6314756870269775","0.6314756870269775","3.965125799179077","3.965125799179077","3.965125799179077","0.5128116607666016","0.5128116607666016","0.5128116607666016"
"19","1.0748810768127441","1.0748810768127441","1.0748810768127441","0.39874112606048584","0.39874112606048584","0.39874112606048584","0.7009819746017456","0.7009819746017456","0.7009819746017456","1.2676805257797241","1.2676805257797241","1.2676805257797241","1.1204800605773926","1.1204800605773926","1.1204800605773926","1.2364590167999268","1.2364590167999268","1.2364590167999268","2.2123332023620605","2.2123332023620605","2.2123332023620605","1.0949552059173584","1.0949552059173584","1.0949552059173584"
"20","0.5001423358917236","0.5001423358917236","0.5001423358917236","-0.167588472366333","-0.167588472366333","-0.167588472366333","0.15866613388061523","0.15866613388061523","0.15866613388061523","0.9191797971725464","0.9191797971725464","0.9191797971725464","0.5539040565490723","0.5539040565490723","0.5539040565490723","0.658710241317749","0.658710241317749","0.658710241317749","3.3243401050567627","3.3243401050567627","3.3243401050567627","0.5229852199554443","0.5229852199554443","0.5229852199554443"
"21","-0.3339252471923828","-0.3339252471923828","-0.3339252471923828","-0.8314652442932129","-0.8314652442932129","-0.8314652442932129","-0.2409522533416748","-0.2409522533416748","-0.2409522533416748","1.0219075679779053","1.0219075679779053","1.0219075679779053","-0.21226286888122559","-0.21226286888122559","-0.21226286888122559","-0.04321002960205078","-0.04321002960205078","-0.04321002960205078","2.816903591156006","2.816903591156006","2.816903591156006","-0.25248050689697266","-0.25248050689697266","-0.25248050689697266"
"22","0.34278252720832825","0.34278252720832825","0.34278252720832825","-0.15808655321598053","-0.15808655321598053","-0.15808655321598053","0.2308739572763443","0.2308739572763443","0.2308739572763443","1.044270634651184","1.044270634651184","1.044270634651184","0.40893855690956116","0.40893855690956116","0.40893855690956116","0.5277242064476013","0.5277242064476013","0.5277242064476013","2.749708414077759","2.749708414077759","2.749708414077759","0.3765852153301239","0.3765852153301239","0.3765852153301239"
"23","-0.17261934280395508","-0.17261934280395508","-0.17261934280395508","-0.7574117183685303","-0.7574117183685303","-0.7574117183685303","-0.31234240531921387","-0.31234240531921387","-0.31234240531921387","0.6971001625061035","0.6971001625061035","0.6971001625061035","-0.09342145919799805","-0.09342145919799805","-0.09342145919799805","0.07144737243652344","0.07144737243652344","0.07144737243652344","2.9691085815429688","2.9691085815429688","2.9691085815429688","-0.13294696807861328","-0.13294696807861328","-0.13294696807861328"
"24","1.3223536014556885","1.3223536014556885","1.3223536014556885","0.5233738422393799","0.5233738422393799","0.5233738422393799","0.9098855257034302","0.9098855257034302","0.9098855257034302","1.7913738489151","1.7913738489151","1.7913738489151","1.399895191192627","1.399895191192627","1.399895191192627","1.5384087562561035","1.5384087562561035","1.5384087562561035","3.6457042694091797","3.6457042694091797","3.6457042694091797","1.3647392988204956","1.3647392988204956","1.3647392988204956"
"25","0.23284173011779785","0.23284173011779785","0.23284173011779785","-0.2836172580718994","-0.2836172580718994","-0.2836172580718994","-0.04061770439147949","-0.04061770439147949","-0.04061770439147949","0.2982187271118164","0.2982187271118164","0.2982187271118164","0.2768266201019287","0.2768266201019287","0.2768266201019287","0.40642476081848145","0.40642476081848145","0.40642476081848145","2.6577980518341064","2.6577980518341064","2.6577980518341064","0.2603774070739746","0.2603774070739746","0.2603774070739746"
"26","-0.14118599891662598","-0.14118599891662598","-0.14118599891662598","-0.7910093069076538","-0.7910093069076538","-0.7910093069076538","-0.35974907875061035","-0.35974907875061035","-0.35974907875061035","0.6051192283630371","0.6051192283630371","0.6051192283630371","-0.07447338104248047","-0.07447338104248047","-0.07447338104248047","0.12340641021728516","0.12340641021728516","0.12340641021728516","4.008899211883545","4.008899211883545","4.008899211883545","-0.10796332359313965","-0.10796332359313965","-0.10796332359313965"
"27","0.3862185478210449","0.3862185478210449","0.3862185478210449","-0.2989538908004761","-0.2989538908004761","-0.2989538908004761","0.013453960418701172","0.013453960418701172","0.013453960418701172","0.6288032531738281","0.6288032531738281","0.6288032531738281","0.45131802558898926","0.45131802558898926","0.45131802558898926","0.5991027355194092","0.5991027355194092","0.5991027355194092","2.7504138946533203","2.7504138946533203","2.7504138946533203","0.43136096000671387","0.43136096000671387","0.43136096000671387"
